date,1. open,2. high,3. low,4. close,5. volume
2020-11-20 11:24:00,212.67,212.73,212.63,212.72,39674.0
2020-11-20 11:23:00,212.66,212.72,212.62,212.6521,32662.0
2020-11-20 11:22:00,212.7801,212.79,212.62,212.66,26650.0
2020-11-20 11:21:00,212.7284,212.78,212.66,212.78,30489.0
2020-11-20 11:20:00,212.83,212.85,212.63,212.73,57155.0
2020-11-20 11:19:00,212.85,212.88,212.8,212.84,28861.0
2020-11-20 11:18:00,212.74,212.87,212.7021,212.85,42222.0
2020-11-20 11:17:00,212.76,212.79,212.71,212.74,25340.0
2020-11-20 11:16:00,212.8,212.8,212.7,212.75,39096.0
2020-11-20 11:15:00,212.82,212.84,212.775,212.8021,26025.0
2020-11-20 11:14:00,212.89,212.89,212.81,212.83,32415.0
2020-11-20 11:13:00,212.9798,212.98,212.8717,212.8717,46856.0
2020-11-20 11:12:00,212.8029,212.9919,212.79,212.98,88208.0
2020-11-20 11:11:00,212.71,212.845,212.7,212.801,54884.0
2020-11-20 11:10:00,212.63,212.759,212.63,212.72,52761.0
2020-11-20 11:09:00,212.33,212.65,212.32,212.63,42334.0
2020-11-20 11:08:00,212.29,212.35,212.27,212.33,26774.0
2020-11-20 11:07:00,212.225,212.27,212.21,212.27,26180.0
2020-11-20 11:06:00,212.305,212.4,212.23,212.23,39086.0
2020-11-20 11:05:00,212.2806,212.335,212.2636,212.3044,26224.0
2020-11-20 11:04:00,212.15,212.29,212.1,212.2788,37493.0
2020-11-20 11:03:00,212.2,212.29,212.16,212.17,29172.0
2020-11-20 11:02:00,212.205,212.24,212.2,212.21,25140.0
2020-11-20 11:01:00,212.13,212.2,212.12,212.2,22431.0
2020-11-20 11:00:00,212.027,212.16,212.01,212.1402,32360.0
2020-11-20 10:59:00,212.03,212.0377,211.95,212.0,44725.0
2020-11-20 10:58:00,212.18,212.18,212.01,212.01,23395.0
2020-11-20 10:57:00,212.17,212.2391,212.11,212.185,34780.0
2020-11-20 10:56:00,212.21,212.26,212.11,212.17,44091.0
2020-11-20 10:55:00,212.2525,212.3251,212.21,212.21,35447.0
2020-11-20 10:54:00,212.47,212.47,212.24,212.25,43472.0
2020-11-20 10:53:00,212.61,212.72,212.47,212.48,46575.0
2020-11-20 10:52:00,212.5,212.63,212.47,212.605,47230.0
2020-11-20 10:51:00,212.42,212.5045,212.38,212.4912,26983.0
2020-11-20 10:50:00,212.47,212.5,212.42,212.42,33344.0
2020-11-20 10:49:00,212.37,212.46,212.365,212.45,24202.0
2020-11-20 10:48:00,212.38,212.45,212.35,212.3536,23304.0
2020-11-20 10:47:00,212.4866,212.53,212.35,212.37,34855.0
2020-11-20 10:46:00,212.4163,212.52,212.4121,212.48,22843.0
2020-11-20 10:45:00,212.37,212.44,212.35,212.41,19719.0
2020-11-20 10:44:00,212.335,212.372,212.262,212.35,28298.0
2020-11-20 10:43:00,212.4,212.4579,212.335,212.335,33533.0
2020-11-20 10:42:00,212.35,212.52,212.34,212.4,55651.0
2020-11-20 10:41:00,212.28,212.44,212.28,212.3583,37886.0
2020-11-20 10:40:00,212.243,212.31,212.24,212.2701,43028.0
2020-11-20 10:39:00,212.14,212.28,212.135,212.2481,50685.0
2020-11-20 10:38:00,212.04,212.18,212.04,212.1281,35109.0
2020-11-20 10:37:00,211.88,212.05,211.86,212.04,38855.0
2020-11-20 10:36:00,211.815,211.91,211.81,211.87,33312.0
2020-11-20 10:35:00,211.8206,211.92,211.77,211.82,42266.0
2020-11-20 10:34:00,211.669,211.829,211.66,211.8211,30000.0
2020-11-20 10:33:00,211.745,211.79,211.66,211.6679,36694.0
2020-11-20 10:32:00,211.86,211.945,211.72,211.745,64984.0
2020-11-20 10:31:00,211.87,211.88,211.82,211.855,30422.0
2020-11-20 10:30:00,211.853,211.879,211.81,211.87,21034.0
2020-11-20 10:29:00,211.87,211.89,211.83,211.86,22467.0
2020-11-20 10:28:00,211.885,211.9,211.82,211.8739,22726.0
2020-11-20 10:27:00,211.85,211.92,211.825,211.87,25495.0
2020-11-20 10:26:00,211.9064,211.93,211.8101,211.85,23991.0
2020-11-20 10:25:00,211.935,211.95,211.89,211.915,23503.0
2020-11-20 10:24:00,211.91,211.97,211.86,211.93,44158.0
2020-11-20 10:23:00,211.86,211.99,211.85,211.89,39575.0
2020-11-20 10:22:00,211.76,211.85,211.67,211.85,59739.0
2020-11-20 10:21:00,211.84,211.88,211.735,211.76,41798.0
2020-11-20 10:20:00,211.84,211.91,211.8,211.85,47533.0
2020-11-20 10:19:00,212.03,212.04,211.84,211.85,33974.0
2020-11-20 10:18:00,212.06,212.09,211.9733,212.03,37969.0
